symbol,datetime_utc,funding_rate,mark_price,open_interest,open_interest_value
AVAXUSDT,2020-09-22 16:00:00,0.0001,,,
AVAXUSDT,2020-09-23 00:00:00,0.0001,,,
AVAXUSDT,2020-09-23 08:00:00,-0.0074,,,
AVAXUSDT,2020-09-23 16:00:00,-0.00126541,,,
AVAXUSDT,2020-09-24 00:00:00,-0.00018177,,,
AVAXUSDT,2020-09-24 08:00:00,-0.00012012,,,
AVAXUSDT,2020-09-24 16:00:00,-0.00048931,,,
AVAXUSDT,2020-09-25 00:00:00,-0.00224858,,,
AVAXUSDT,2020-09-25 08:00:00,-0.00289319,,,
AVAXUSDT,2020-09-25 16:00:00,-0.00216208,,,
AVAXUSDT,2020-09-26 00:00:00,-0.00098216,,,
AVAXUSDT,2020-09-26 08:00:00,-0.00211755,,,
AVAXUSDT,2020-09-26 16:00:00,-0.00011783,,,
AVAXUSDT,2020-09-27 00:00:00,0.0001,,,
AVAXUSDT,2020-09-27 08:00:00,-0.00041945,,,
AVAXUSDT,2020-09-27 16:00:00,-0.00050331,,,
AVAXUSDT,2020-09-28 00:00:00,-0.00065609,,,
AVAXUSDT,2020-09-28 08:00:00,-0.00013098,,,
AVAXUSDT,2020-09-28 16:00:00,0.0001,,,
AVAXUSDT,2020-09-29 00:00:00,0.0001,,,
AVAXUSDT,2020-09-29 08:00:00,-0.00010608,,,
AVAXUSDT,2020-09-29 16:00:00,0.0001,,,
AVAXUSDT,2020-09-30 00:00:00,0.0001,,,
AVAXUSDT,2020-09-30 08:00:00,-0.00030181,,,
AVAXUSDT,2020-09-30 16:00:00,0.0001,,,
AVAXUSDT,2020-10-01 00:00:00,-0.00025416,,,
AVAXUSDT,2020-10-01 08:00:00,0.0001,,,
AVAXUSDT,2020-10-01 16:00:00,0.0001,,,
AVAXUSDT,2020-10-02 00:00:00,5.208e-05,,,
AVAXUSDT,2020-10-02 08:00:00,7.022e-05,,,
AVAXUSDT,2020-10-02 16:00:00,0.0001,,,
AVAXUSDT,2020-10-03 00:00:00,-0.00015428,,,
AVAXUSDT,2020-10-03 08:00:00,-0.00059442,,,
AVAXUSDT,2020-10-03 16:00:00,-0.00034546,,,
AVAXUSDT,2020-10-04 00:00:00,7.413e-05,,,
AVAXUSDT,2020-10-04 08:00:00,-0.00107719,,,
AVAXUSDT,2020-10-04 16:00:00,-0.00167126,,,
AVAXUSDT,2020-10-05 00:00:00,-0.00099078,,,
AVAXUSDT,2020-10-05 08:00:00,-0.00194485,,,
AVAXUSDT,2020-10-05 16:00:00,-0.00066244,,,
AVAXUSDT,2020-10-06 00:00:00,-0.00035542,,,
AVAXUSDT,2020-10-06 08:00:00,-0.00227416,,,
AVAXUSDT,2020-10-06 16:00:00,-0.0024805,,,
AVAXUSDT,2020-10-07 00:00:00,-0.00154079,,,
AVAXUSDT,2020-10-07 08:00:00,-0.00323738,,,
AVAXUSDT,2020-10-07 16:00:00,-0.00343181,,,
AVAXUSDT,2020-10-08 00:00:00,-0.00361232,,,
AVAXUSDT,2020-10-08 08:00:00,-0.00185869,,,
AVAXUSDT,2020-10-08 16:00:00,-0.00045167,,,
AVAXUSDT,2020-10-09 00:00:00,-0.00048272,,,
AVAXUSDT,2020-10-09 08:00:00,-0.00027472,,,
AVAXUSDT,2020-10-09 16:00:00,-0.00016517,,,
AVAXUSDT,2020-10-10 00:00:00,-0.00044795,,,
AVAXUSDT,2020-10-10 08:00:00,0.0001,,,
AVAXUSDT,2020-10-10 16:00:00,0.0001,,,
AVAXUSDT,2020-10-11 00:00:00,0.0001,,,
AVAXUSDT,2020-10-11 08:00:00,8.774e-05,,,
AVAXUSDT,2020-10-11 16:00:00,0.0001,,,
AVAXUSDT,2020-10-12 00:00:00,0.0001,,,
AVAXUSDT,2020-10-12 08:00:00,0.0001,,,
AVAXUSDT,2020-10-12 16:00:00,-0.00011544,,,
AVAXUSDT,2020-10-13 00:00:00,-6.03e-05,,,
