symbol,datetime_utc,funding_rate,mark_price,open_interest,open_interest_value
SOLUSDT,2020-09-13 16:00:00,0.0001,,,
SOLUSDT,2020-09-14 00:00:00,0.0001,,,
SOLUSDT,2020-09-14 08:00:00,0.0001,,,
SOLUSDT,2020-09-14 16:00:00,0.0001,,,
SOLUSDT,2020-09-15 00:00:00,0.0001,,,
SOLUSDT,2020-09-15 08:00:00,0.0001,,,
SOLUSDT,2020-09-15 16:00:00,0.0001,,,
SOLUSDT,2020-09-16 00:00:00,0.0001,,,
SOLUSDT,2020-09-16 08:00:00,0.0001,,,
SOLUSDT,2020-09-16 16:00:00,0.0001,,,
SOLUSDT,2020-09-17 00:00:00,0.0001,,,
SOLUSDT,2020-09-17 08:00:00,0.0001,,,
SOLUSDT,2020-09-17 16:00:00,0.0001,,,
SOLUSDT,2020-09-18 00:00:00,0.0001,,,
SOLUSDT,2020-09-18 08:00:00,0.0001,,,
SOLUSDT,2020-09-18 16:00:00,0.0001,,,
SOLUSDT,2020-09-19 00:00:00,-1.36e-05,,,
SOLUSDT,2020-09-19 08:00:00,0.0001,,,
SOLUSDT,2020-09-19 16:00:00,0.0001,,,
SOLUSDT,2020-09-20 00:00:00,0.0001,,,
SOLUSDT,2020-09-20 08:00:00,-0.00020633,,,
SOLUSDT,2020-09-20 16:00:00,-0.00042585,,,
SOLUSDT,2020-09-21 00:00:00,0.0001,,,
SOLUSDT,2020-09-21 08:00:00,0.0001,,,
SOLUSDT,2020-09-21 16:00:00,0.0001,,,
SOLUSDT,2020-09-22 00:00:00,-4.279e-05,,,
SOLUSDT,2020-09-22 08:00:00,0.0001,,,
SOLUSDT,2020-09-22 16:00:00,0.0001,,,
SOLUSDT,2020-09-23 00:00:00,0.0001,,,
SOLUSDT,2020-09-23 08:00:00,0.0001,,,
SOLUSDT,2020-09-23 16:00:00,0.0001,,,
SOLUSDT,2020-09-24 00:00:00,-8.917e-05,,,
SOLUSDT,2020-09-24 08:00:00,0.0001,,,
SOLUSDT,2020-09-24 16:00:00,0.0001,,,
SOLUSDT,2020-09-25 00:00:00,0.0001,,,
SOLUSDT,2020-09-25 08:00:00,0.0001,,,
SOLUSDT,2020-09-25 16:00:00,-0.00039395,,,
SOLUSDT,2020-09-26 00:00:00,-0.00044892,,,
SOLUSDT,2020-09-26 08:00:00,0.0001,,,
SOLUSDT,2020-09-26 16:00:00,0.0001,,,
SOLUSDT,2020-09-27 00:00:00,0.0001,,,
SOLUSDT,2020-09-27 08:00:00,0.0001,,,
SOLUSDT,2020-09-27 16:00:00,0.0001,,,
SOLUSDT,2020-09-28 00:00:00,0.0001,,,
SOLUSDT,2020-09-28 08:00:00,0.0001,,,
SOLUSDT,2020-09-28 16:00:00,0.0001,,,
SOLUSDT,2020-09-29 00:00:00,0.0001,,,
SOLUSDT,2020-09-29 08:00:00,0.0001,,,
SOLUSDT,2020-09-29 16:00:00,0.0001,,,
SOLUSDT,2020-09-30 00:00:00,0.0001,,,
SOLUSDT,2020-09-30 08:00:00,0.0001,,,
SOLUSDT,2020-09-30 16:00:00,0.0001,,,
SOLUSDT,2020-10-01 00:00:00,0.0001,,,
SOLUSDT,2020-10-01 08:00:00,0.0001,,,
SOLUSDT,2020-10-01 16:00:00,0.0001,,,
SOLUSDT,2020-10-02 00:00:00,0.0001,,,
SOLUSDT,2020-10-02 08:00:00,0.0001,,,
SOLUSDT,2020-10-02 16:00:00,0.0001,,,
SOLUSDT,2020-10-03 00:00:00,0.0001,,,
SOLUSDT,2020-10-03 08:00:00,0.0001,,,
SOLUSDT,2020-10-03 16:00:00,0.0001,,,
SOLUSDT,2020-10-04 00:00:00,0.0001,,,
SOLUSDT,2020-10-04 08:00:00,0.0001,,,
