symbol,datetime_utc,funding_rate,mark_price,open_interest,open_interest_value
XRPUSDT,2020-01-22 08:00:00,0.00013911,,,
XRPUSDT,2020-01-22 16:00:00,0.0001,,,
XRPUSDT,2020-01-23 00:00:00,0.00042104,,,
XRPUSDT,2020-01-23 08:00:00,0.00029574,,,
XRPUSDT,2020-01-23 16:00:00,0.0001,,,
XRPUSDT,2020-01-24 00:00:00,0.0001,,,
XRPUSDT,2020-01-24 08:00:00,0.0001,,,
XRPUSDT,2020-01-24 16:00:00,0.0001,,,
XRPUSDT,2020-01-25 00:00:00,0.0001,,,
XRPUSDT,2020-01-25 08:00:00,0.0001,,,
XRPUSDT,2020-01-25 16:00:00,0.0001,,,
XRPUSDT,2020-01-26 00:00:00,0.0001,,,
XRPUSDT,2020-01-26 08:00:00,0.0001,,,
XRPUSDT,2020-01-26 16:00:00,0.0001,,,
XRPUSDT,2020-01-27 00:00:00,0.0001,,,
XRPUSDT,2020-01-27 08:00:00,0.0001,,,
XRPUSDT,2020-01-27 16:00:00,0.0001,,,
XRPUSDT,2020-01-28 00:00:00,0.0001,,,
XRPUSDT,2020-01-28 08:00:00,0.00025437,,,
XRPUSDT,2020-01-28 16:00:00,0.0002949,,,
XRPUSDT,2020-01-29 00:00:00,0.00111354,,,
XRPUSDT,2020-01-29 08:00:00,0.00108821,,,
XRPUSDT,2020-01-29 16:00:00,0.00129547,,,
XRPUSDT,2020-01-30 00:00:00,0.00104493,,,
XRPUSDT,2020-01-30 08:00:00,0.0008496,,,
XRPUSDT,2020-01-30 16:00:00,0.00094568,,,
XRPUSDT,2020-01-31 00:00:00,0.00163247,,,
XRPUSDT,2020-01-31 08:00:00,0.00139455,,,
XRPUSDT,2020-01-31 16:00:00,0.00065705,,,
XRPUSDT,2020-02-01 00:00:00,0.00011588,,,
XRPUSDT,2020-02-01 08:00:00,0.00021319,,,
XRPUSDT,2020-02-01 16:00:00,0.00034136,,,
XRPUSDT,2020-02-02 00:00:00,0.00073987,,,
XRPUSDT,2020-02-02 08:00:00,0.00052875,,,
XRPUSDT,2020-02-02 16:00:00,0.00070499,,,
XRPUSDT,2020-02-03 00:00:00,0.00076429,,,
XRPUSDT,2020-02-03 08:00:00,0.0006028,,,
XRPUSDT,2020-02-03 16:00:00,0.00068694,,,
XRPUSDT,2020-02-04 00:00:00,0.00097581,,,
XRPUSDT,2020-02-04 08:00:00,0.00065478,,,
XRPUSDT,2020-02-04 16:00:00,0.00087324,,,
XRPUSDT,2020-02-05 00:00:00,0.00084913,,,
XRPUSDT,2020-02-05 08:00:00,0.00015617,,,
XRPUSDT,2020-02-05 16:00:00,0.00055073,,,
XRPUSDT,2020-02-06 00:00:00,0.00154527,,,
XRPUSDT,2020-02-06 08:00:00,0.00185237,,,
XRPUSDT,2020-02-06 16:00:00,0.00129262,,,
XRPUSDT,2020-02-07 00:00:00,0.00121796,,,
XRPUSDT,2020-02-07 08:00:00,0.00107989,,,
XRPUSDT,2020-02-07 16:00:00,0.00194481,,,
XRPUSDT,2020-02-08 00:00:00,0.00098417,,,
