symbol,datetime_utc,funding_rate,mark_price,open_interest,open_interest_value
ADAUSDT,2020-01-19 16:00:00,0.0001,,,
ADAUSDT,2020-01-20 00:00:00,0.0001,,,
ADAUSDT,2020-01-20 08:00:00,0.0001,,,
ADAUSDT,2020-01-20 16:00:00,0.0001,,,
ADAUSDT,2020-01-21 00:00:00,0.0001,,,
ADAUSDT,2020-01-21 08:00:00,0.0001,,,
ADAUSDT,2020-01-21 16:00:00,0.0001,,,
ADAUSDT,2020-01-22 00:00:00,0.0001,,,
ADAUSDT,2020-01-22 08:00:00,0.0001,,,
ADAUSDT,2020-01-22 16:00:00,0.0001,,,
ADAUSDT,2020-01-23 00:00:00,0.0001,,,
ADAUSDT,2020-01-23 08:00:00,0.0001,,,
ADAUSDT,2020-01-23 16:00:00,0.0001,,,
ADAUSDT,2020-01-24 00:00:00,0.0001,,,
ADAUSDT,2020-01-24 08:00:00,0.0001,,,
ADAUSDT,2020-01-24 16:00:00,0.0001,,,
ADAUSDT,2020-01-25 00:00:00,0.0001,,,
ADAUSDT,2020-01-25 08:00:00,0.0001,,,
ADAUSDT,2020-01-25 16:00:00,0.0001,,,
ADAUSDT,2020-01-26 00:00:00,0.0001,,,
ADAUSDT,2020-01-26 08:00:00,0.0001,,,
ADAUSDT,2020-01-26 16:00:00,0.0001,,,
ADAUSDT,2020-01-27 00:00:00,0.0001,,,
ADAUSDT,2020-01-27 08:00:00,0.0001,,,
ADAUSDT,2020-01-27 16:00:00,0.0001,,,
ADAUSDT,2020-01-28 00:00:00,0.0001,,,
ADAUSDT,2020-01-28 08:00:00,0.0001,,,
ADAUSDT,2020-01-28 16:00:00,0.0001,,,
ADAUSDT,2020-01-29 00:00:00,0.0001,,,
ADAUSDT,2020-01-29 08:00:00,0.0001,,,
ADAUSDT,2020-01-29 16:00:00,0.0001,,,
ADAUSDT,2020-01-30 00:00:00,0.0001,,,
ADAUSDT,2020-01-30 08:00:00,0.0001,,,
ADAUSDT,2020-01-30 16:00:00,0.0001,,,
ADAUSDT,2020-01-31 00:00:00,0.0001,,,
ADAUSDT,2020-01-31 08:00:00,0.0001,,,
ADAUSDT,2020-01-31 16:00:00,0.0001,,,
ADAUSDT,2020-02-01 00:00:00,0.0001,,,
ADAUSDT,2020-02-01 08:00:00,0.0001,,,
ADAUSDT,2020-02-01 16:00:00,0.0001,,,
ADAUSDT,2020-02-02 00:00:00,0.0001,,,
ADAUSDT,2020-02-02 08:00:00,0.0014449,,,
ADAUSDT,2020-02-02 16:00:00,0.00179835,,,
ADAUSDT,2020-02-03 00:00:00,0.00164031,,,
ADAUSDT,2020-02-03 08:00:00,0.00071241,,,
ADAUSDT,2020-02-03 16:00:00,0.00048046,,,
ADAUSDT,2020-02-04 00:00:00,0.00014095,,,
ADAUSDT,2020-02-04 08:00:00,0.00031409,,,
ADAUSDT,2020-02-04 16:00:00,0.00073434,,,
ADAUSDT,2020-02-05 00:00:00,0.00040653,,,
ADAUSDT,2020-02-05 08:00:00,0.0001,,,
ADAUSDT,2020-02-05 16:00:00,0.00031833,,,
ADAUSDT,2020-02-06 00:00:00,0.00162987,,,
ADAUSDT,2020-02-06 08:00:00,0.00396642,,,
ADAUSDT,2020-02-06 16:00:00,0.00146499,,,
ADAUSDT,2020-02-07 00:00:00,0.00052055,,,
ADAUSDT,2020-02-07 08:00:00,0.00156332,,,
ADAUSDT,2020-02-07 16:00:00,0.00250463,,,
ADAUSDT,2020-02-08 00:00:00,0.00198965,,,
ADAUSDT,2020-02-08 08:00:00,0.00175849,,,
ADAUSDT,2020-02-08 16:00:00,0.00070553,,,
ADAUSDT,2020-02-09 00:00:00,0.00081936,,,
ADAUSDT,2020-02-09 08:00:00,0.00161188,,,
ADAUSDT,2020-02-09 16:00:00,0.0024828,,,
ADAUSDT,2020-02-10 00:00:00,0.0021764,,,
ADAUSDT,2020-02-10 08:00:00,0.00162089,,,
ADAUSDT,2020-02-10 16:00:00,0.00099124,,,
ADAUSDT,2020-02-11 00:00:00,0.00126237,,,
ADAUSDT,2020-02-11 08:00:00,0.00096237,,,
ADAUSDT,2020-02-11 16:00:00,0.00056017,,,
ADAUSDT,2020-02-12 00:00:00,0.00235305,,,
ADAUSDT,2020-02-12 08:00:00,0.00284851,,,
ADAUSDT,2020-02-12 16:00:00,0.0019762,,,
ADAUSDT,2020-02-13 00:00:00,0.0024533,,,
ADAUSDT,2020-02-13 08:00:00,0.00249154,,,
