symbol,datetime_utc,funding_rate,mark_price,open_interest,open_interest_value
DOGEUSDT,2020-07-10 08:00:00,0.0001,,,
DOGEUSDT,2020-07-10 16:00:00,-0.00301393,,,
DOGEUSDT,2020-07-11 00:00:00,4.111e-05,,,
DOGEUSDT,2020-07-11 08:00:00,1.285e-05,,,
DOGEUSDT,2020-07-11 16:00:00,0.0001,,,
DOGEUSDT,2020-07-12 00:00:00,0.0001,,,
DOGEUSDT,2020-07-12 08:00:00,0.0001,,,
DOGEUSDT,2020-07-12 16:00:00,0.0001,,,
DOGEUSDT,2020-07-13 00:00:00,0.00026293,,,
DOGEUSDT,2020-07-13 08:00:00,0.0001,,,
DOGEUSDT,2020-07-13 16:00:00,1.96e-06,,,
DOGEUSDT,2020-07-14 00:00:00,-0.00070381,,,
DOGEUSDT,2020-07-14 08:00:00,-0.00122571,,,
DOGEUSDT,2020-07-14 16:00:00,0.0001,,,
DOGEUSDT,2020-07-15 00:00:00,0.0001,,,
DOGEUSDT,2020-07-15 08:00:00,-0.00017488,,,
DOGEUSDT,2020-07-15 16:00:00,-0.00077381,,,
DOGEUSDT,2020-07-16 00:00:00,-4.99e-05,,,
DOGEUSDT,2020-07-16 08:00:00,0.0001,,,
DOGEUSDT,2020-07-16 16:00:00,0.0001,,,
DOGEUSDT,2020-07-17 00:00:00,0.00016338,,,
DOGEUSDT,2020-07-17 08:00:00,0.0001,,,
DOGEUSDT,2020-07-17 16:00:00,0.0001,,,
DOGEUSDT,2020-07-18 00:00:00,0.0001,,,
DOGEUSDT,2020-07-18 08:00:00,0.0001,,,
DOGEUSDT,2020-07-18 16:00:00,0.0001,,,
DOGEUSDT,2020-07-19 00:00:00,0.0001,,,
DOGEUSDT,2020-07-19 08:00:00,0.0001,,,
DOGEUSDT,2020-07-19 16:00:00,-0.00012246,,,
DOGEUSDT,2020-07-20 00:00:00,0.0001,,,
DOGEUSDT,2020-07-20 08:00:00,0.0001,,,
DOGEUSDT,2020-07-20 16:00:00,0.0001,,,
